Platform,Genre,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Game_Count,Cluster
PSP,Racing,34.73,14.959999999999999,11.77,0.9700000000000001,65,3
PSP,Role-Playing,49.01,11.42,3.76,30.78,191,4
PSP,Shooter,19.77,10.26,5.39,0.45,37,0
PSP,Simulation,6.28,1.9,2.0900000000000003,1.06,29,0
PSP,Sports,39.9,16.55,11.49,6.1000000000000005,130,3
PSP,Strategy,10.290000000000001,2.67,2.23,4.14,58,0
PSV,Action,18.24,4.82,5.45,5.24,115,3
PSV,Adventure,3.83,0.8200000000000001,0.64,1.8900000000000001,69,0
PSV,Fighting,3.0100000000000002,1.33,0.67,0.5700000000000001,14,0
PSV,Misc,4.97,1.01,1.28,2.05,21,0
PSV,Platform,3.03,0.92,1.42,0.06,10,0
PSV,Puzzle,0.2,0.08,0.05,0.05,3,0
PSV,Racing,2.95,0.9,1.32,0.16,11,0
PSV,Role-Playing,12.34,2.79,1.61,6.79,71,0
PSV,Shooter,4.57,1.77,1.76,0.24000000000000002,5,0
PSV,Simulation,0.08,0.01,0.0,0.06,3,0
PSV,Sports,4.68,1.38,1.72,0.83,21,0
PSV,Strategy,0.31,0.05,0.05,0.18,7,0
SAT,Action,0.65,0.0,0.0,0.65,3,0
SAT,Adventure,4.16,0.0,0.0,4.16,26,0
SAT,Fighting,8.52,0.51,0.38,7.59,31,0
SAT,Misc,1.2,0.0,0.0,1.2,15,0
SAT,Platform,0.76,0.0,0.0,0.76,5,0
SAT,Puzzle,1.0,0.0,0.0,1.0,5,0
SAT,Racing,2.4,0.21,0.16,2.0100000000000002,8,0
SAT,Role-Playing,3.76,0.0,0.0,3.76,17,0
SAT,Shooter,3.98,0.0,0.0,3.97,22,0
SAT,Simulation,1.1300000000000001,0.0,0.0,1.1300000000000001,7,0
SAT,Sports,2.79,0.0,0.0,2.79,16,0
SAT,Strategy,3.24,0.0,0.0,3.24,18,0
SCD,Misc,0.1,0.0,0.0,0.09,2,0
SCD,Platform,1.5,1.0,0.36,0.09,1,0
SCD,Racing,0.07,0.0,0.0,0.07,1,0
SCD,Role-Playing,0.06,0.0,0.0,0.06,1,0
SCD,Strategy,0.14,0.0,0.0,0.14,1,0
SNES,Action,10.08,4.09,1.33,4.46,12,0
SNES,Adventure,1.5,0.0,0.0,1.5,4,0
SNES,Fighting,26.95,9.34,2.9,14.27,25,0
SNES,Misc,5.02,1.43,0.54,2.98,17,0
SNES,Platform,65.65,32.71,10.74,20.42,26,4
SNES,Puzzle,6.38,0.0,0.0,6.37,13,0
SNES,Racing,13.49,4.91,1.75,6.58,9,0
SNES,Role-Playing,36.43,2.29,0.16,33.76,50,4
SNES,Shooter,6.07,2.67,0.89,2.38,10,0
SNES,Simulation,5.63,1.3900000000000001,0.44000000000000006,3.74,9,0
SNES,Sports,17.87,2.1,0.29,15.41,49,0
SNES,Strategy,4.98,0.3,0.0,4.68,15,0
TG16,Adventure,0.14,0.0,0.0,0.14,1,0
TG16,Shooter,0.02,0.0,0.0,0.02,1,0
WS,Role-Playing,1.22,0.0,0.0,1.22,4,0
WS,Strategy,0.2,0.0,0.0,0.2,2,0
Wii,Action,110.48,65.59,30.58,4.7,230,1
Wii,Adventure,18.33,11.08,4.59,1.17,83,0
Wii,Fighting,23.82,13.120000000000001,5.11,3.6700000000000004,41,0
Wii,Misc,217.43,119.46,65.0,13.71,272,2
Wii,Platform,90.68,48.25,24.08,11.24,57,3
Wii,Puzzle,15.629999999999999,9.27,3.6,1.5,54,0
Wii,Racing,61.24,31.52,19.970000000000002,4.09,92,3
Wii,Role-Playing,14.06,5.74,1.95,5.63,35,0
Wii,Shooter,26.34,17.36,5.9799999999999995,0.62,61,0
Wii,Simulation,36.62,23.6,7.83,1.96,84,3
Wii,Sports,289.95,149.94,94.87,18.25,256,2
Wii,Strategy,5.23,2.44,0.79,1.74,25,0
WiiU,Action,17.8,9.21,6.03,0.89,58,0
WiiU,Adventure,0.16,0.09,0.07,0.0,2,0
WiiU,Fighting,5.43,2.78,1.21,0.8300000000000001,4,0
WiiU,Misc,11.8,5.31,3.4000000000000004,2.26,20,0
WiiU,Platform,21.220000000000002,9.959999999999999,6.15,3.65,15,0
WiiU,Puzzle,1.3299999999999998,0.66,0.36,0.22,4,0
WiiU,Racing,7.77,3.4699999999999998,2.46,1.29,3,0
WiiU,Role-Playing,2.47,0.86,0.62,0.83,6,0
WiiU,Shooter,5.82,2.22,1.6099999999999999,1.45,9,0
WiiU,Simulation,0.21,0.15,0.04,0.0,1,0
WiiU,Sports,3.3200000000000003,1.61,0.9400000000000001,0.51,8,0
WiiU,Strategy,1.24,0.51,0.35,0.31,3,0
X360,Action,239.19,139.4,75.62,2.77,315,2
X360,Adventure,15.23,8.4,4.859999999999999,0.61,47,0
X360,Fighting,37.64,24.58,8.92,0.96,65,3
X360,Misc,89.33,61.38,20.2,0.44,122,3
X360,Platform,11.39,6.04,4.19,0.02,24,0
X360,Puzzle,0.71,0.49,0.04,0.15,6,0
X360,Racing,65.13,32.8,25.43,0.52,102,3
X360,Role-Playing,71.97,44.65,18.55,2.61,75,3
X360,Shooter,277.21,173.36,76.28,3.0500000000000003,196,2
X360,Simulation,14.1,8.27,4.0,0.64,36,0
X360,Sports,137.1,88.31,37.0,0.4,211,1
X360,Strategy,9.77,6.29,2.51,0.13,27,0
XB,Action,47.46,33.19,12.21,0.33,152,3
XB,Adventure,3.06,2.22,0.73,0.0,26,0
XB,Fighting,12.83,9.45,2.59,0.36,44,0
XB,Misc,8.67,6.42,1.8800000000000001,0.0,45,0
XB,Platform,9.66,6.58,2.6999999999999997,0.01,49,0
XB,Puzzle,0.42000000000000004,0.32,0.08,0.0,7,0
XB,Racing,31.42,21.43,8.66,0.17,122,3
XB,Role-Playing,13.51,9.89,3.04,0.08,23,0
XB,Shooter,62.12,45.11,14.94,0.24,124,3
XB,Simulation,7.11,5.43,1.43,0.03,24,0
XB,Sports,53.05,39.97,10.78,0.16,166,3
XB,Strategy,2.7800000000000002,2.05,0.61,0.0,21,0
XOne,Action,31.39,18.15,10.58,0.04,51,0
XOne,Adventure,2.4,1.12,1.06,0.03,11,0
XOne,Fighting,1.99,1.36,0.45,0.01,5,0
XOne,Misc,6.86,4.4399999999999995,1.82,0.01,15,0
XOne,Platform,0.65,0.35,0.24,0.0,2,0
XOne,Racing,8.110000000000001,3.71,3.75,0.05,11,0
XOne,Role-Playing,8.959999999999999,5.24,2.9,0.01,10,0
XOne,Shooter,47.21,29.2,13.85,0.16,23,3
XOne,Simulation,0.53,0.28,0.2,0.0,2,0
XOne,Sports,20.23,12.4,6.08,0.02,27,0
XOne,Strategy,0.36,0.25,0.09,0.0,2,0
